dein wille geschehe: 8
den ganzen tag: 8
ein wenig gearbeitet: 7
gearbeitet nicht gearbeitet: 6
gott helfe mir: 6
nachricht von david: 6
nicht viel gearbeitet: 6
von den werken: 6
brief von david: 5
fast nicht gearbeitet: 5
gott mit mir: 5
gott sei dank: 5
ich bin ein: 5
in den letzten: 5
keine nachricht von: 5
nicht zum arbeiten: 5
sei mit mir: 5
daß ich mich: 4
ich fühle mich: 4
ich je wieder: 4
in der stadt: 4
je wieder arbeiten: 4
lieben brief von: 4
meine gedanken sind: 4
mit unserem kommandanten: 4
noch immer nicht: 4
sehr viel gearbeitet: 4
von gemeinheit umgeben: 4
weiter gegen krakau: 4
werde ich je: 4
ziemlich viel gearbeitet: 4
zum arbeiten gekommen: 4
aber dein wille: 3
aber es ist: 3
daß ich in: 3
die gnade der: 3
donner von den: 3
ein schwacher mensch: 3
es ist als: 3
früh weiter gegen: 3
ganzen tag kanzlei: 3
gearbeitet aber ohne: 3
gearbeitet etwas gearbeitet: 3
gnade der arbeit: 3
gott sei mit: 3
heute nacht wachdienst: 3
ich habe keine: 3
ich nur schon: 3
ich von hier: 3
ist als ob: 3
kann ich nicht: 3
kanzlei nicht gearbeitet: 3
liebe karte von: 3
mit denen ich: 3
möge der geist: 3
nicht gearbeitet bin: 3
nicht gearbeitet nicht: 3
nicht gearbeitet viel: 3
sehr wenig gearbeitet: 3
sich selbst nicht: 3
stehe mir bei: 3
und es ist: 3
und noch immer: 3
viel gearbeitet aber: 3
viel zu tun: 3
was mir sehr: 3
weil ich nicht: 3
über meine zukunft: 3
über sich selbst: 3
aber auch das: 2
aber es war: 2
aber ich glaube: 2
an david abgeschickt: 2
an die auferstehung: 2
an diesem glauben: 2
an mir vorüber: 2
arbeit noch immer: 2
arbeiten nicht gearbeitet: 2
arbeiten zu können: 2
ati sie ie: 2
auch in der: 2
auch in meiner: 2
auf dem schiff: 2
auf der zunge: 2
auf wache gehen: 2
belagerung von krakau: 2
bin ein schwacher: 2
bin ich jetzt: 2
bin noch nicht: 2
bin zu schwach: 2
brief an david: 2
brief von ficker: 2
dann werde ich: 2
dann wirst du: 2
darüber daß ich: 2
darüber was ich: 2
das festhalten an: 2
das leben zu: 2
daß ich ein: 2
daß ich ihn: 2
daß ich nicht: 2
daß ich sie: 2
daß wir wahrscheinlich: 2
den ganzen vormittag: 2
den letzten tagen: 2
den letzten wochen: 2
den leuten hier: 2
den verkehr mit: 2
den werken ziemlich: 2
denke viel über: 2
denken kann ich: 2
der geist beschütze: 2
der geist mich: 2
der geist mir: 2
der geist sei: 2
dich nicht über: 2
die ganze zeit: 2
die gnade gottes: 2
die wahrheit über: 2
dies ist ein: 2
du dich nicht: 2
durch die gnade: 2
ein klein wenig: 2
ein paar tagen: 2
