den ganzen tag: 17
ich fühle mich: 17
es ist mir: 16
daß ich mich: 14
in den letzten: 12
gott mit mir: 11
ich fürchte mich: 11
dein wille geschehe: 10
sehr viel gearbeitet: 10
aber es ist: 9
daß ich nicht: 9
es ist als: 9
gott sei dank: 9
ich bin ein: 8
den letzten tagen: 7
ein wenig gearbeitet: 7
es geht mir: 7
es ist ein: 7
es ist schwer: 7
gott helfe mir: 7
ich bin nicht: 7
ich weiß nicht: 7
meine gedanken sind: 7
noch immer nicht: 7
sehr viel gearb: 7
wenn ich nicht: 7
aber ich bin: 6
bei der arbeit: 6
daß ich in: 6
fast nicht gearbeitet: 6
fühle mich nicht: 6
gearbeitet aber ohne: 6
gearbeitet nicht gearbeitet: 6
ich bin in: 6
ich bin sehr: 6
ich glaube daß: 6
ich habe keine: 6
ich kann nicht: 6
in der nähe: 6
in meinem haus: 6
lieben brief von: 6
möge der geist: 6
nachricht von david: 6
nicht viel gearbeitet: 6
so ist es: 6
und es ist: 6
viel gearbeitet aber: 6
von den werken: 6
ziemlich viel gearbeitet: 6
als wäre ich: 5
brief von david: 5
dem ich mich: 5
denn ich bin: 5
fürchte mich vor: 5
hier in der: 5
ich glaube ich: 5
in der nacht: 5
in der stadt: 5
keine nachricht von: 5
mit unserem kommandanten: 5
nicht zum arbeiten: 5
sei mit mir: 5
weiß nicht ob: 5
wenn ich mich: 5
werde ich je: 5
aber ich habe: 4
als wäre es: 4
auf dem schiff: 4
auf der zunge: 4
daß man sich: 4
denke viel an: 4
die ganze zeit: 4
die gnade der: 4
du dich nicht: 4
es aber nicht: 4
es ist niemand: 4
es wird mir: 4
fühle mich sehr: 4
glaube daß ich: 4
gnade der arbeit: 4
gut für mich: 4
ich es nicht: 4
ich in die: 4
ich je wieder: 4
ich jetzt nicht: 4
ich kann mir: 4
ich mich nicht: 4
ich mich vor: 4
ich nicht mehr: 4
ich weiß es: 4
in der welt: 4
in gewissem sinne: 4
ist mir als: 4
ist niemand hier: 4
ist was ich: 4
je wieder arbeiten: 4
mit mir geschehen: 4
nach sawichost fahren: 4
nicht es ist: 4
und das ist: 4
und doch ist: 4
viel gearb aber: 4
viel zu tun: 4
von gemeinheit umgeben: 4
was mit mir: 4
weil ich nicht: 4
weiter gegen krakau: 4
weiß ich nicht: 4
wenn ich es: 4
ziemlich viel gearb: 4
zum arbeiten gekommen: 4
zum ersten mal: 4
über sich selbst: 4
aber auch das: 3
aber das ist: 3
aber das macht: 3
aber dein wille: 3
aber es war: 3
aber ich fühle: 3
aber ich weiß: 3
aber nur mut: 3
aber zu müde: 3
als könnte ich: 3
an der oberfläche: 3
arbeiten zu können: 3
auch das ist: 3
auch wenn er: 3
auf dem deck: 3
auf dem wege: 3
auf den tod: 3
belagerung von krakau: 3
bin ich jetzt: 3
bin in der: 3
bin noch nicht: 3
bin sehr müde: 3
bittere schlucken als: 3
dann wirst du: 3
das bittere schlucken: 3
das ist der: 3
das ist ein: 3
das leben zu: 3
daß der druck: 3
daß ich auf: 3
daß ich den: 3
daß ich ein: 3
daß ich heute: 3
daß ich sie: 3
daß mein leben: 3
den leuten hier: 3
denn das ist: 3
denn es ist: 3
der geist mich: 3
der geist mir: 3
die nacht über: 3
die russen sind: 3
doch bin ich: 3
donner von den: 3
du mußt das: 3
du sie nicht: 3
durch den geist: 3
ein paar tagen: 3
ein schwacher mensch: 3
einem anderen schiff: 3
er mich nicht: 3
es heißt daß: 3
es ist aber: 3
es ist eine: 3
es ist hier: 3
es ist merkwürdig: 3
es ist sehr: 3
es ist unendlich: 3
es ist wie: 3
es mir gegeben: 3
es mir nicht: 3
es scheint mir: 3
fast nichts gearbeitet: 3
frei durch den: 3
früh gegen szczucin: 3
früh weiter gegen: 3
furcht vor der: 3
fühle ich mich: 3
fühle mich ziemlich: 3
für mein leben: 3
für mich eine: 3
für möglich daß: 3
fürchte ich mich: 3
fürchte mich davor: 3
ganzen tag kanzlei: 3
ganzen tag über: 3
gearb aber ohne: 3
gearbeitet etwas gearbeitet: 3
geschehen wenn ich: 3
gott sei mit: 3
habe ich mich: 3
heute nacht wachdienst: 3
ich auch nicht: 3
ich benehme mich: 3
ich bin ganz: 3
ich bin jetzt: 3
ich bin noch: 3
ich bin zu: 3
ich dachte an: 3
ich gar nicht: 3
ich in einem: 3
ich kann es: 3
ich kann in: 3
ich kann sagen: 3
ich machen soll: 3
ich mich doch: 3
ich mich noch: 3
ich muß mich: 3
ich nicht arbeiten: 3
ich nur schon: 3
ich von hier: 3
ich wenn ich: 3
ich will nicht: 3
immer wieder muß: 3
in den nächsten: 3
in der hand: 3
in der liebe: 3
in meiner arbeit: 3
in schlechtem zustand: 3
ist aber ich: 3
ist als ob: 3
ist es aber: 3
ist es ist: 3
ist es möglich: 3
ist für mich: 3
ist noch immer: 3
ist weiß ich: 3
ist wie ein: 3
ist wie wenn: 3
kann ich nicht: 3
kann nicht arbeiten: 3
kannst du nicht: 3
kanzlei nicht gearbeitet: 3
kein wunder wenn: 3
könnte ich nur: 3
liebe karte von: 3
man sich selbst: 3
mehr oder weniger: 3
mensch zu sein: 3
mich nicht wohl: 3
mich noch nicht: 3
mich vor der: 3
mit allem was: 3
mit dem ich: 3
mit den leuten: 3
mit denen ich: 3
mit mir in: 3
mit mir jetzt: 3
mußt das bittere: 3
möge gott mir: 3
nicht daß ich: 3
nicht gearbeitet bin: 3
nicht gearbeitet nicht: 3
nicht gearbeitet viel: 3
nicht in der: 3
nichts als ein: 3
noch nicht ich: 3
noch ohne erfolg: 3
nur eines ist: 3
ohne erfolg es: 3
sagte ich solle: 3
schlucken als wäre: 3
sehr schwer ich: 3
sehr wenig gearbeitet: 3
sich selbst nicht: 3
so bin ich: 3
so gut wie: 3
so ist das: 3
so kann ich: 3
so werde ich: 3
stehe mir bei: 3
um mich zu: 3
und ich kann: 3
und noch immer: 3
von diesem schiff: 3
vor der zukunft: 3
was du hast: 3
was es heißt: 3
was ich machen: 3
was mir sehr: 3
weiß es nicht: 3
wenn ich mir: 3
wenn ich mit: 3
wenn ich nur: 3
werde ich mich: 3
werden ich bin: 3
wie ich es: 3
wie man es: 3
wie werde ich: 3
wird ich bin: 3
wäre es süß: 3
ziemlich gearbeitet aber: 3
zu anna rebni: 3
zu können aber: 3
zu sein denn: 3
zu sein ich: 3
über meine zukunft: 3
aber der geist: 2
aber die antwort: 2
aber erfolglos gearbeitet: 2
aber es wird: 2
aber ich glaube: 2
aber ich kann: 2
aber ich war: 2
aber ich will: 2
aber nicht recht: 2
aber nicht sehr: 2
aber noch immer: 2
aber noch nicht: 2
aber noch ohne: 2
aber ob ich: 2
aber ohne die: 2
aber ohne erfolg: 2
aber sie sind: 2
aber soll ich: 2
allem was du: 2
aller wahrscheinlichkeit nach: 2
alles ist so: 2
alles was ich: 2
als ein buch: 2
als hätte ich: 2
als seien die: 2
an david abgeschickt: 2
an den lieben: 2
an die auferstehung: 2
an diesem glauben: 2
an mich denkt: 2
an mir vorüber: 2
anderes dokument das: 2
arbeit ist ein: 2
arbeit noch immer: 2
arbeite ich nicht: 2
arbeiten es ist: 2
arbeiten können ich: 2
arbeiten nicht gearbeitet: 2
ati sie ie: 2
auch habe ich: 2
auch in der: 2
auch in meiner: 2
auch sagen es: 2
auf den fersen: 2
auf der fahrt: 2
auf der hochreit: 2
auf der reise: 2
auf der weichsel: 2
auf nichts mehr: 2
auf wache gehen: 2
aus dem kampf: 2
aus dem weg: 2
aus so ist: 2
bei anna rebni: 2
bei mir und: 2
benehmen gegen mich: 2
besser als gestern: 2
bin aber nicht: 2
bin ein schwacher: 2
bin ich froh: 2
bin ich so: 2
bin ich wie: 2
bin wie ein: 2
bin wieder sehr: 2
bin zu schwach: 2
bis heute mittag: 2
bleiben sehr viel: 2
bosheit der menschen: 2
brief an david: 2
brief von ficker: 2
brief von keynes: 2
buch vor mir: 2
bös daß du: 2
d h daß: 2
d h es: 2
d h ich: 2
da ich mich: 2
dagegen zu machen: 2
daher daß ich: 2
dann verliere ich: 2
dann werde ich: 2
daran wie ich: 2
daran zu denken: 2
darüber daß ich: 2
darüber was ich: 2
das christentum ist: 2
das festhalten an: 2
das gefühl daß: 2
das heißt ich: 2
das ist die: 2
das ist eigentlich: 2
das ist furchtbar: 2
das ist schlecht: 2
das kommt daher: 2
das leben hier: 2
das leben ist: 2
das macht nichts: 2
das schiff verlassen: 2
das was aus: 2
das was ich: 2
dazu es ist: 2
daß der grund: 2
daß der scheinwerfer: 2
daß die russen: 2
daß die sache: 2
daß du nicht: 2
daß es mit: 2
daß ich dann: 2
daß ich das: 2
daß ich dort: 2
daß ich einmal: 2
daß ich es: 2
daß ich gar: 2
daß ich ihn: 2
daß ich morgen: 2
daß ich von: 2
daß ich wieder: 2
daß mir ein: 2
daß sie nicht: 2
daß wir nach: 2
daß wir wahrscheinlich: 2
dem glauben an: 2
dem kampf des: 2
dem schiff nach: 2
dem wege zu: 2
